year,age_name,cases,age,period,cohort,log_cases
2006,55-59 years,63962.49795144618,57.5,2006,1948.5,11.066067855124857
2007,55-59 years,65578.8460748574,57.5,2007,1949.5,11.091023703260438
2008,55-59 years,67319.27050353204,57.5,2008,1950.5,11.117216666471537
2009,55-59 years,68391.69648745857,57.5,2009,1951.5,11.133021321410482
2010,55-59 years,70674.53580158656,57.5,2010,1952.5,11.165854763736967
2011,55-59 years,71691.32586408503,57.5,2011,1953.5,11.180138989675157
2012,55-59 years,72142.53188264246,57.5,2012,1954.5,11.186412911987153
2013,55-59 years,71938.96463146934,57.5,2013,1955.5,11.183587225610202
2014,55-59 years,71515.21388443318,57.5,2014,1956.5,11.17767947058866
2015,55-59 years,71492.71082948404,57.5,2015,1957.5,11.177364764386557
2016,55-59 years,72267.00583064831,57.5,2016,1958.5,11.18813679057473
2017,55-59 years,73965.21935906421,57.5,2017,1959.5,11.211363772812895
2018,55-59 years,76807.51191914122,57.5,2018,1960.5,11.249070745274805
2019,55-59 years,80227.68886631,57.5,2019,1961.5,11.29263644642683
2020,55-59 years,82401.47909708344,57.5,2020,1962.5,11.319370801574639
2021,55-59 years,88220.19338277332,57.5,2021,1963.5,11.387602500916941
1990,60-64 years,98430.70849141027,62.5,1990,1927.5,11.497118271898305
1991,60-64 years,101080.47418872578,62.5,1991,1928.5,11.523682145771776
1992,60-64 years,103289.75908991172,62.5,1992,1929.5,11.545303194086964
1993,60-64 years,105115.29279017642,62.5,1993,1930.5,11.562822566640858
1994,60-64 years,106903.27412562708,62.5,1994,1931.5,11.579689078679968
1995,60-64 years,108449.30774027896,62.5,1995,1932.5,11.59404735387459
1996,60-64 years,110107.427558463,62.5,1996,1933.5,11.609220864363246
1997,60-64 years,111840.75395232538,62.5,1997,1934.5,11.62484024003713
1998,60-64 years,113281.71656675207,62.5,1998,1935.5,11.637641889631816
1999,60-64 years,114372.3091595808,62.5,1999,1936.5,11.647223019164336
2000,60-64 years,115527.22439059555,62.5,2000,1937.5,11.657270146109372
2001,60-64 years,116493.53477208049,62.5,2001,1938.5,11.665599639059863
2002,60-64 years,117563.54926754384,62.5,2002,1939.5,11.674742817194334
2003,60-64 years,119156.51921331584,62.5,2003,1940.5,11.688201587655447
2004,60-64 years,120767.4997359524,62.5,2004,1941.5,11.701630766702838
2005,60-64 years,122341.0158105388,62.5,2005,1942.5,11.714575809778177
2006,60-64 years,125103.24099688088,62.5,2006,1943.5,11.736902596734746
2007,60-64 years,129594.5233154589,62.5,2007,1944.5,11.772173519984722
2008,60-64 years,133260.10904056692,62.5,2008,1945.5,11.800065708463459
2009,60-64 years,139457.50777442745,62.5,2009,1946.5,11.84552240069214
2010,60-64 years,143101.8806975763,62.5,2010,1947.5,11.871319096002834
2011,60-64 years,148687.21751209215,62.5,2011,1948.5,11.909606892671952
2012,60-64 years,152389.96550844217,62.5,2012,1949.5,11.934204639036802
2013,60-64 years,157114.00035495943,62.5,2013,1950.5,11.964733302530579
2014,60-64 years,160512.3820024175,62.5,2014,1951.5,11.986132595038645
2015,60-64 years,166543.4818762184,62.5,2015,1952.5,12.023017711137907
2016,60-64 years,169270.62483199575,62.5,2016,1953.5,12.039259951191811
2017,60-64 years,170716.93694571996,62.5,2017,1954.5,12.047767982030276
2018,60-64 years,170442.13836024769,62.5,2018,1955.5,12.046157020729046
2019,60-64 years,169412.6062723153,62.5,2019,1956.5,12.040098378354248
2020,60-64 years,166731.4087341218,62.5,2020,1957.5,12.024145463365052
2021,60-64 years,171512.76456722288,62.5,2021,1958.5,12.05241880223467
1990,65-69 years,256580.2427696039,67.5,1990,1922.5,12.455200629386596
1991,65-69 years,264334.0045267298,67.5,1991,1923.5,12.48497253422421
1992,65-69 years,272144.05105816136,67.5,1992,1924.5,12.51409047908617
1993,65-69 years,280463.871141468,67.5,1993,1925.5,12.544203759529827
1994,65-69 years,288626.9402345166,67.5,1994,1926.5,12.572893733645243
1995,65-69 years,296381.0183421936,67.5,1995,1927.5,12.599404503702065
1996,65-69 years,304013.6306951477,67.5,1996,1928.5,12.624831106516949
